,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"26,149","26,836","27,550","28,293","29,063","29,863","30,694","31,556","32,448","33,367","34,314","35,282","36,262","37,248","38,241","39,247","40,268","41,279","42,269","43,229","44,151","45,054","45,979","46,949","48,119","49,259","50,439","51,677","53,016","54,473","56,077","57,826","59,721","61,736","63,865","66,091","68,408","70,795","72,888","75,489","78,147","80,798","83,403","85,948","88,504","91,112","93,735","96,554","99,118","101,673","104,248","106,903","109,702","112,570","115,487","118,614","121,930","125,511","129,303","133,255","137,299","141,339","145,272","149,003","152,449","155,522","158,196","160,485","162,236","163,518","164,481",167611,170759,176770,177345,173438,167147,167428,167661,167910,168215,168577,168971,169389,171610,172077,174062,175447,176051,176730,177471,178188,177395,176231,174905,173439,171863,170211,168515,166813,165131
24,"25,236","25,899","26,588","27,302","28,044","28,814","29,614","30,445","31,306","32,196","33,109","34,046","34,995","35,945","36,903","37,865","38,841","39,804","40,747","41,662","42,545","43,394","44,236","45,109","46,039","47,174","48,288","49,460","50,721","52,105","53,621","55,275","57,067","58,973","60,986","63,115","65,338","67,656","70,043","72,131","74,713","77,333","79,929","82,475","85,038","87,649","90,298","92,924","95,749","98,323","100,898","103,505","106,195","108,947","111,713","114,547","117,684","121,003","124,573","128,354","132,295","136,328","140,357","144,277","147,996","151,432","154,497","157,167","159,431","161,200","162,513",163507,166661,169835,175869,176474,172607,166355,166672,166939,167220,167556,167947,168368,168812,171057,171547,173553,174959,175583,176281,177040,177775,176999,175852,174542,173091,171530,169892,168209,166520
25 a 29,"113,327","116,320","119,417","122,626","125,951","129,398","132,974","136,685","140,534","144,525","148,644","152,867","157,157","161,468","165,786","170,097","174,400","178,606","182,679","186,599","190,360","193,989","197,528","201,039","204,611","208,327","212,424","216,954","222,077","227,883","234,423","241,501","249,165","257,297","265,866","274,907","284,448","294,513","305,092","316,128","327,158","338,485","350,005","361,635","373,277","385,516","397,887","410,621","423,627","437,032","450,541","464,151","477,852","491,764","505,286","518,723","532,230","546,155","560,714","576,166","592,669","610,257","628,732","647,905","667,420","686,878","705,844","723,871","740,588","755,781","769,162",780519,789854,799720,810499,825543,839904,849421,849566,846877,838449,829691,825105,827111,829200,831445,835635,839958,845879,852764,859812,865303,871048,875514,877789,878283,876761,873025,866990,860085,852636
25,"24,346","24,987","25,651","26,340","27,054","27,795","28,565","29,365","30,195","31,054","31,939","32,841","33,759","34,679","35,601","36,527","37,458","38,375","39,270","40,138","40,976","41,786","42,573","43,364","44,196","45,092","46,201","47,307","48,503","49,809","51,251","52,818","54,514","56,318","58,222","60,234","62,361","64,585","66,902","69,283","71,353","73,897","76,461","78,999","81,536","84,127","86,753","89,405","92,038","94,874","97,471","100,081","102,727","105,407","108,086","110,792","113,632","116,767","120,075","123,634","127,404","131,334","135,356","139,372","143,279","146,988","150,415","153,476","156,135","158,416","160,214",161557,162576,165756,168954,175013,175653,171823,165611,165961,166259,166570,166935,167353,167799,168267,170534,171046,173072,174497,175139,175855,176631,177382,176622,175491,174196,172759,171212,169587,167917
26,"23,481","24,101","24,740","25,404","26,093","26,807","27,547","28,317","29,116","29,944","30,798","31,672","32,556","33,446","34,338","35,228","36,122","36,995","37,845","38,666","39,458","40,224","40,973","41,709","42,460","43,259","44,130","45,231","46,360","47,600","48,965","50,456","52,065","53,772","55,574","57,478","59,488","61,615","63,839","66,150","68,512","70,545","73,034","75,540","78,036","80,568","83,140","85,769","88,429","91,075","93,935","96,572","99,226","101,902","104,541","107,186","109,892","112,725","115,849","119,147","122,695","126,454","130,373","134,382","138,385","142,281","145,982","149,403","152,469","155,145","157,453",159279,160646,161692,164895,168119,174207,174879,171087,164912,165293,165620,165958,166350,166792,167262,167752,170039,170571,172615,174058,174717,175450,176241,177007,176262,175146,173865,172441,170907,169295
27,"22,641","23,239","23,858","24,497","25,161","25,850","26,563","27,303","28,072","28,870","29,693","30,538","31,395","32,254","33,116","33,976","34,831","35,669","36,476","37,255","38,002","38,724","39,432","40,131","40,829","41,548","42,322","43,187","44,310","45,482","46,778","48,191","49,722","51,342","53,047","54,849","56,751","58,761","60,888","63,106","65,399","67,723","69,705","72,137","74,570","77,029","79,510","82,085","84,722","87,396","90,069","92,972","95,657","98,379","101,046","103,679","106,321","109,017","111,839","114,952","118,239","121,776","125,524","129,429","133,425","137,417","141,303","144,998","148,430","151,511","154,213",156548,158396,159788,160859,164086,167340,173454,174158,170400,164261,164669,165023,165386,165802,166266,166758,167268,169573,170124,172184,173643,174318,175066,175871,176650,175919,174817,173549,172137,170615
28,"21,825","22,402","23,000","23,619","24,258","24,922","25,611","26,323","27,063","27,830","28,624","29,439","30,269","31,102","31,935","32,766","33,591","34,393","35,169","35,908","36,618","37,299","37,965","38,627","39,289","39,957","40,653","41,421","42,308","43,471","44,696","46,037","47,488","49,029","50,648","52,352","54,152","56,055","58,064","60,186","62,386","64,644","66,918","68,847","71,190","73,569","75,960","78,444","81,028","83,679","86,380","89,097","92,048","94,825","97,558","100,242","102,874","105,507","108,192","111,002","114,103","117,378","120,902","124,636","128,527","132,511","136,491","140,370","144,067","147,513","150,618",153344,155700,157571,158986,160082,163337,166618,172757,173490,169763,163657,164090,164468,164853,165291,165775,166287,166815,169136,169704,171778,173252,173941,174703,175520,176312,175593,174504,173248,171848
29,"21,034","21,591","22,168","22,766","23,385","24,024","24,688","25,377","26,088","26,827","27,590","28,377","29,178","29,987","30,796","31,600","32,398","33,174","33,919","34,632","35,306","35,956","36,585","37,208","37,837","38,471","39,118","39,808","40,596","41,521","42,733","43,999","45,376","46,836","48,375","49,994","51,696","53,497","55,399","57,403","59,508","61,676","63,887","66,112","67,945","70,223","72,524","74,918","77,410","80,008","82,686","85,429","88,194","91,251","94,055","96,824","99,511","102,139","104,759","107,431","110,228","113,315","116,577","120,086","123,804","127,681","131,653","135,624","139,487","143,196","146,664",149791,152536,154913,156805,158243,159367,162647,165953,172114,172873,169175,163099,163554,163954,164359,164816,165318,165848,166392,168727,169310,171397,172884,173586,174360,175188,175991,175284,174206,172961
30 a 34,"94,154","96,653","99,251","101,945","104,735","107,628","110,622","113,721","116,931","120,251","123,680","127,210","130,825","134,494","138,205","141,926","145,621","149,225","152,706","156,033","159,196","162,194","165,071","167,858","170,611","173,368","176,173","179,090","182,240","185,750","189,746","194,428","199,764","205,692","212,156","219,122","226,418","234,116","242,229","250,768","259,718","269,053","278,716","288,673","298,529","308,013","317,505","327,511","338,074","349,234","361,409","374,205","387,566","401,764","416,566","431,650","446,559","461,110","475,169","488,602","501,796","514,980","528,555","542,757","557,841","573,971","591,181","609,304","627,984","647,155","666,481",685542,703846,720983,736643,750498,762353,772226,782653,794017,809637,824559,834639,835367,833250,825405,817205,813131,815586,818107,820758,825329,830013,836270,843470,850818,856602,862621,867353,869891,870644
30,"20,268","20,805","21,362","21,939","22,537","23,156","23,795","24,459","25,148","25,858","26,594","27,351","28,126","28,909","29,696","30,478","31,251","32,004","32,729","33,417","34,072","34,691","35,294","35,884","36,477","37,081","37,696","38,338","39,046","39,868","40,838","42,087","43,385","44,770","46,229","47,768","49,385","51,087","52,888","54,785","56,774","58,850","60,976","63,142","65,267","67,032","69,227","71,532","73,934","76,439","79,062","81,781","84,568","87,447","90,541","93,396","96,171","98,857","101,470","104,076","106,734","109,516","112,589","115,834","119,327","123,030","126,892","130,855","134,793","138,667","142,395",145883,149026,151790,154186,156099,157563,158712,162015,165344,171523,172305,168633,162585,163059,163478,163901,164375,164893,165439,165997,168345,168941,171039,172537,173251,174036,174874,175687,174990,173923
31,"19,526","20,043","20,582","21,139","21,716","22,315","22,934","23,573","24,237","24,925","25,633","26,363","27,110","27,870","28,634","29,397","30,149","30,883","31,589","32,264","32,900","33,506","34,084","34,652","35,215","35,786","36,373","36,984","37,642","38,381","39,242","40,246","41,523","42,828","44,212","45,671","47,208","48,826","50,527","52,324","54,208","56,170","58,208","60,294","62,351","64,394","66,067","68,265","70,578","72,993","75,523","78,185","80,947","83,864","86,800","89,965","92,829","95,606","98,275","100,872","103,463","106,105","108,871","111,927","115,154","118,631","122,318","126,169","130,082","134,029","137,920",141665,145167,148327,151107,153522,155458,156944,158117,161440,164787,170981,171783,168135,162112,162604,163039,163478,163967,164499,165058,165629,167988,168595,170703,172211,172935,173729,174576,175398,174710
32,"18,808","19,307","19,826","20,365","20,922","21,500","22,099","22,718","23,357","24,021","24,707","25,410","26,132","26,865","27,609","28,352","29,088","29,805","30,499","31,160","31,790","32,383","32,952","33,500","34,044","34,588","35,144","35,727","36,352","37,037","37,811","38,702","39,731","41,015","42,318","43,702","45,160","46,697","48,314","50,012","51,797","53,658","55,586","57,589","59,563","61,531","63,476","65,154","67,360","69,685","72,124","74,691","77,393","80,289","83,268","86,285","89,461","92,329","95,089","97,741","100,322","102,896","105,522","108,271","111,309","114,519","117,979","121,655","125,447","129,368","133,330",137236,140993,144509,147684,150480,152915,154871,156378,157572,160911,164275,170480,171300,167674,161674,162181,162631,163083,163586,164130,164701,165283,167651,168269,170385,171901,172634,173436,174291,175121
33,"18,112","18,594","19,095","19,614","20,153","20,711","21,289","21,888","22,507","23,146","23,808","24,490","25,186","25,895","26,614","27,341","28,063","28,768","29,450","30,105","30,726","31,318","31,880","32,422","32,950","33,476","34,008","34,560","35,156","35,804","36,520","37,320","38,233","39,268","40,551","41,853","43,236","44,694","46,231","47,844","49,532","51,297","53,129","55,026","56,920","58,807","60,679","62,628","64,314","66,532","68,878","71,351","73,956","76,775","79,724","82,775","85,805","88,987","91,838","94,581","97,217","99,782","102,341","104,950","107,682","110,704","113,898","117,347","120,971","124,770","128,704",132680,136596,140366,143894,147084,149898,152350,154325,155851,157063,160417,163795,170009,170845,167239,161261,161781,162245,162709,163224,163779,164361,164953,167328,167956,170079,171603,172343,173153,174015
34,"17,440","17,904","18,386","18,888","19,407","19,946","20,505","21,083","21,682","22,301","22,938","23,596","24,271","24,955","25,652","26,358","27,070","27,765","28,439","29,087","29,708","30,296","30,861","31,400","31,925","32,437","32,952","33,481","34,044","34,660","35,335","36,073","36,892","37,811","38,846","40,128","41,429","42,812","44,269","45,803","47,407","49,078","50,817","52,622","54,428","56,249","58,056","59,932","61,888","63,585","65,822","68,197","70,702","73,389","76,233","79,229","82,293","85,331","88,497","91,332","94,060","96,681","99,232","101,775","104,369","107,087","110,094","113,278","116,691","120,321","124,132",128078,132064,135991,139772,143313,146519,149349,151818,153810,155353,156581,159948,163338,169560,170410,166823,160866,161398,161874,162349,162875,163440,164032,164633,167015,167651,169781,171311,172059,172875
35 a 39,"77,861","79,941","82,096","84,337","86,664","89,082","91,592","94,198","96,899","99,695","102,583","105,552","108,591","111,690","114,857","118,103","121,428","124,750","128,028","131,235","134,346","137,352","140,247","143,041","145,743","148,362","150,914","153,446","156,024","158,721","161,602","164,699","168,038","171,628","175,515","179,768","184,589","189,953","195,870","202,316","209,230","216,416","223,909","231,699","239,676","247,832","256,118","264,659","273,490","282,651","291,857","301,608","311,987","322,944","334,449","347,062","360,543","374,769","389,433","404,498","419,461","434,107","448,290","461,986","475,062","487,902","500,739","513,982","527,891","542,741","558,703",575810,593889,612802,632227,651804,671126,689722,707179,723189,737413,749643,759895,770680,782377,798289,813488,823858,824917,823136,815659,807817,804061,806775,809544,812433,817219,822105,828549,835921,843427
35,"16,790","17,237","17,701","18,184","18,686","19,205","19,745","20,304","20,882","21,481","22,098","22,731","23,382","24,046","24,720","25,407","26,103","26,792","27,460","28,105","28,724","29,317","29,881","30,427","30,951","31,462","31,965","32,477","33,015","33,596","34,234","34,928","35,683","36,507","37,426","38,461","39,742","41,043","42,425","43,880","45,406","46,994","48,644","50,359","52,091","53,839","55,597","57,408","59,290","61,255","62,969","65,231","67,633","70,186","72,873","75,740","78,750","81,823","84,846","87,997","90,817","93,531","96,139","98,675","101,204","103,785","106,490","109,487","112,649","116,068","119,709",123531,127486,131481,135418,139210,142765,145985,148831,151315,153322,154880,156122,159500,162900,169128,169991,166422,160485,161028,161515,162000,162536,163110,163711,164321,166708,167352,169488,171024,171778
36,"16,161","16,592","17,039","17,503","17,986","18,489","19,008","19,548","20,108","20,685","21,283","21,896","22,522","23,162","23,818","24,486","25,167","25,843","26,510","27,153","27,772","28,368","28,941","29,488","30,021","30,534","31,037","31,537","32,057","32,610","33,210","33,864","34,572","35,331","36,156","37,075","38,110","39,391","40,691","42,071","43,519","45,031","46,601","48,231","49,889","51,577","53,277","55,039","56,855","58,745","60,724","62,460","64,744","67,161","69,690","72,377","75,260","78,280","81,339","84,348","87,485","90,292","92,993","95,588","98,110","100,627","103,196","105,893","108,883","112,049","115,479",119130,122960,126924,130927,134873,138678,142245,145479,148338,150835,152855,154427,155682,159069,162478,168710,169585,166033,160115,160668,161165,161660,162205,162787,163396,164014,166406,167057,169198,170739
